time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,train/policy_gradient_loss,train/n_updates,train/clip_range,train/clip_fraction,train/explained_variance,train/learning_rate,train/value_loss,train/approx_kl,train/std,train/entropy_loss,train/loss
622592,562.8261085900001,1243,866.59,500,76,-0.034197354878415354,750,0.2,0.185595703125,0.8916221261024475,0.0003,7.888020446896553,0.015311316,1.059893250465393,-17.718867594003676,3.5581133365631104
630784,561.56530926,1256,857.47,502,77,-0.030946186103392392,760,0.2,0.23638916015625,0.8311336636543274,0.0003,10.139592272788287,0.01721264,1.0610898733139038,-17.71889271736145,2.7668979167938232
638976,552.04754388,1269,838.95,503,78,-0.030084946341230535,770,0.2,0.14254150390625,0.8759370446205139,0.0003,12.185420420765876,0.012888202,1.061545491218567,-17.726839953660964,2.6244354248046875
647168,543.3163634299999,1282,821.53,504,79,-0.03227252980359481,780,0.2,0.16456298828125,0.8301241993904114,0.0003,17.165566150844096,0.013524704,1.0622804164886475,-17.733156126737594,7.273554801940918
655360,550.6103495599999,1295,827.7,506,80,-0.03959124821049045,790,0.2,0.2435302734375,0.862743616104126,0.0003,9.748607233166695,0.020976743,1.0637117624282837,-17.749690556526183,4.292704105377197
663552,550.1074475099999,1307,821.21,507,81,-0.034187327830295544,800,0.2,0.2842041015625,0.8275951743125916,0.0003,11.977954981476069,0.024329681,1.0664737224578857,-17.77598688006401,3.568371534347534
671744,559.07302556,1320,830.84,508,82,-0.04404418169033306,810,0.2,0.39212646484375,0.7829094529151917,0.0003,5.343054082989693,0.04136928,1.0654836893081665,-17.776997631788255,2.1598927974700928
679936,559.4156848599999,1330,825.18,510,83,-0.03410991059281514,820,0.2,0.25797119140625,0.8694702386856079,0.0003,8.289845292270183,0.020187048,1.0685333013534546,-17.79810873270035,4.469885349273682
688128,571.80396577,1341,837.15,513,84,-0.032117784969887,830,0.2,0.226220703125,0.8655707836151123,0.0003,12.578950794041157,0.019535601,1.068519949913025,-17.812034279108047,6.084338188171387
696320,568.5635134600001,1351,827.26,515,85,-0.031603906961026954,840,0.2,0.281591796875,0.8135489225387573,0.0003,11.252721014618874,0.024966925,1.0696098804473877,-17.808255463838577,8.717513084411621
704512,571.95550349,1361,827.36,517,86,-0.03452237206947757,850,0.2,0.1950927734375,0.8952579498291016,0.0003,14.784986686706542,0.015224834,1.0715786218643188,-17.831803023815155,4.768106937408447
712704,566.35946562,1371,815.78,519,87,-0.03646878329018364,860,0.2,0.2026123046875,0.8587808609008789,0.0003,13.908911830186844,0.016268577,1.073156476020813,-17.850445061922073,3.527411699295044
720896,563.18636242,1382,805.58,521,88,-0.03911474243504927,870,0.2,0.28426513671875,0.9001153707504272,0.0003,9.022091175615788,0.026155505,1.076377272605896,-17.883308398723603,7.5109052658081055
729088,546.94635062,1392,779.32,523,89,-0.03426885126609704,880,0.2,0.18939208984375,0.9056635499000549,0.0003,15.350047998130322,0.01699032,1.077970027923584,-17.91024631857872,6.838554382324219
737280,536.1218094599999,1403,760.8,525,90,-0.03662592434484395,890,0.2,0.2218017578125,0.90071702003479,0.0003,15.839105968177318,0.017743832,1.07937753200531,-17.931200116872787,9.083946228027344
745472,517.8311409,1413,731.89,527,91,-0.03794491743756225,900,0.2,0.25380859375,0.8781007528305054,0.0003,15.231646013259887,0.019972164,1.0808613300323486,-17.938163024187087,7.912566661834717
