time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/loss,train/std,train/n_updates,train/learning_rate,train/clip_range,train/explained_variance
217,791.3,550.81628442,3534,770048,94,-0.036678790936275615,-18.335960566997528,0.23631591796875,0.018543333,13.041098527610302,1.8360329866409302,1.1180840730667114,930,0.0003,0.2,0.9042824506759644
218,802.17,561.42506108,3562,778240,95,-0.038726761523867025,-18.36329866051674,0.2860595703125,0.025622498,10.594350241869687,3.4416778087615967,1.1217578649520874,940,0.0003,0.2,0.8577597141265869
218,807.99,565.69272503,3596,786432,96,-0.034964799153385684,-18.387701284885406,0.28619384765625,0.027002852,10.739057862758637,3.45988130569458,1.1226845979690552,950,0.0003,0.2,0.8518176674842834
219,809.26,568.5484882000002,3627,794624,97,-0.03666768821203732,-18.420621621608735,0.2270263671875,0.019146316,13.311177022755146,4.28780460357666,1.1279789209365845,960,0.0003,0.2,0.8736015558242798
219,800.57,564.64733268,3661,802816,98,-0.03615511797543149,-18.466450786590578,0.2536376953125,0.02396499,14.922921198606492,8.05984115600586,1.1317459344863892,970,0.0003,0.2,0.8223690986633301
219,801.28,566.8747902700001,3691,811008,99,-0.038247430156297925,-18.522597950696944,0.28941650390625,0.024473071,10.06930240318179,3.1916821002960205,1.1355880498886108,980,0.0003,0.2,0.901532769203186
220,783.95,554.81541899,3722,819200,100,-0.03695826156617841,-18.55022915005684,0.2864013671875,0.02525492,14.507397221028805,3.386608839035034,1.1394450664520264,990,0.0003,0.2,0.9014112949371338
220,788.28,559.83473553,3753,827392,101,-0.03683390155638335,-18.58281664252281,0.252001953125,0.020744411,15.305076242983342,3.6541907787323,1.142022728919983,1000,0.0003,0.2,0.8733404278755188
221,780.07,554.2767235400001,3771,835584,102,-0.03460194018261973,-18.635560315847396,0.38577880859375,0.034857806,10.632048110663892,3.1323888301849365,1.1484869718551636,1010,0.0003,0.2,0.8792273998260498
222,795.85,568.15149419,3783,843776,103,-0.03581030448694946,-18.669716316461564,0.26611328125,0.022773912,13.18135511726141,5.968624114990234,1.150170922279358,1020,0.0003,0.2,0.8997653722763062
224,780.3,558.81541808,3796,851968,104,-0.03350065647246083,-18.709924036264418,0.2896728515625,0.026468765,15.085135497152805,6.056911468505859,1.1556206941604614,1030,0.0003,0.2,0.8137264847755432
